seed,phase,phase_name,phase_total_runs,phase_epochs_per_run,run_idx,run_total,lr,wd,bs,drop_path_rate,epoch,epoch_total,loss,train_acc_pct,test_acc_pct
[38042],1,baseline,27,20,9,27,0.0001,0.15,256,0.2,7,20,1.322,52.25,53.35
[38042],1,baseline,27,20,9,27,0.0001,0.15,256,0.2,8,20,1.2566,54.61,55.46
[38042],1,baseline,27,20,9,27,0.0001,0.15,256,0.2,9,20,1.1969,56.9,56.85
[38042],1,baseline,27,20,9,27,0.0001,0.15,256,0.2,10,20,1.1465,58.96,59.9
[38042],1,baseline,27,20,9,27,0.0001,0.15,256,0.2,11,20,1.1126,60.14,61.66
[38042],1,baseline,27,20,9,27,0.0001,0.15,256,0.2,12,20,1.0728,61.57,61.92
[38042],1,baseline,27,20,9,27,0.0001,0.15,256,0.2,13,20,1.0423,62.58,63.07
[38042],1,baseline,27,20,9,27,0.0001,0.15,256,0.2,14,20,1.0143,63.66,64.38
[38042],1,baseline,27,20,9,27,0.0001,0.15,256,0.2,15,20,0.9886,64.68,64.89
[38042],1,baseline,27,20,9,27,0.0001,0.15,256,0.2,16,20,0.9666,65.64,66.2
[38042],1,baseline,27,20,9,27,0.0001,0.15,256,0.2,17,20,0.9443,66.39,66.71
[38042],1,baseline,27,20,9,27,0.0001,0.15,256,0.2,18,20,0.9265,66.82,67.23
[38042],1,baseline,27,20,9,27,0.0001,0.15,256,0.2,19,20,0.9105,67.68,67.08
[38042],1,baseline,27,20,9,27,0.0001,0.15,256,0.2,20,20,0.903,67.8,67.5
[38042],1,baseline,27,20,10,27,0.00033,0.02,256,0.0,1,20,1.989,26.02,29.22
[38042],1,baseline,27,20,10,27,0.00033,0.02,256,0.0,2,20,1.7699,34.34,36.9
[38042],1,baseline,27,20,10,27,0.00033,0.02,256,0.0,3,20,1.585,41.89,42.91
[38042],1,baseline,27,20,10,27,0.00033,0.02,256,0.0,4,20,1.3887,49.54,52.71
[38042],1,baseline,27,20,10,27,0.00033,0.02,256,0.0,5,20,1.2876,53.36,54.39
[38042],1,baseline,27,20,10,27,0.00033,0.02,256,0.0,6,20,1.2007,56.63,58.28
[38042],1,baseline,27,20,10,27,0.00033,0.02,256,0.0,7,20,1.1319,59.28,61.54
[38042],1,baseline,27,20,10,27,0.00033,0.02,256,0.0,8,20,1.0741,61.51,63.27
[38042],1,baseline,27,20,10,27,0.00033,0.02,256,0.0,9,20,1.011,63.72,64.72
[38042],1,baseline,27,20,10,27,0.00033,0.02,256,0.0,10,20,0.9743,65.01,66.79
[38042],1,baseline,27,20,10,27,0.00033,0.02,256,0.0,11,20,0.9175,67.47,68.03
[38042],1,baseline,27,20,10,27,0.00033,0.02,256,0.0,12,20,0.8762,68.88,69.08
[38042],1,baseline,27,20,10,27,0.00033,0.02,256,0.0,13,20,0.8239,70.82,70.67
[38042],1,baseline,27,20,10,27,0.00033,0.02,256,0.0,14,20,0.7822,72.43,72.07
[38042],1,baseline,27,20,10,27,0.00033,0.02,256,0.0,15,20,0.7405,73.64,73.23
[38042],1,baseline,27,20,10,27,0.00033,0.02,256,0.0,16,20,0.7044,75.37,73.85
[38042],1,baseline,27,20,10,27,0.00033,0.02,256,0.0,17,20,0.6678,76.57,74.97
[38042],1,baseline,27,20,10,27,0.00033,0.02,256,0.0,18,20,0.6393,77.42,75.31
[38042],1,baseline,27,20,10,27,0.00033,0.02,256,0.0,19,20,0.621,78.16,75.97
[38042],1,baseline,27,20,10,27,0.00033,0.02,256,0.0,20,20,0.6039,78.72,75.97
[38042],1,baseline,27,20,11,27,0.00033,0.02,256,0.1,1,20,2.0021,25.71,30.64
[38042],1,baseline,27,20,11,27,0.00033,0.02,256,0.1,2,20,1.7739,34.06,37.21
[38042],1,baseline,27,20,11,27,0.00033,0.02,256,0.1,3,20,1.6086,41.02,43.36
[38042],1,baseline,27,20,11,27,0.00033,0.02,256,0.1,4,20,1.4381,47.61,49.86
[38042],1,baseline,27,20,11,27,0.00033,0.02,256,0.1,5,20,1.3185,52.3,53.54
[38042],1,baseline,27,20,11,27,0.00033,0.02,256,0.1,6,20,1.2331,55.34,56.93
[38042],1,baseline,27,20,11,27,0.00033,0.02,256,0.1,7,20,1.1667,57.85,59.81
[38042],1,baseline,27,20,11,27,0.00033,0.02,256,0.1,8,20,1.0994,60.64,61.75
[38042],1,baseline,27,20,11,27,0.00033,0.02,256,0.1,9,20,1.0583,62.08,64.0
[38042],1,baseline,27,20,11,27,0.00033,0.02,256,0.1,10,20,1.0067,64.07,66.43
[38042],1,baseline,27,20,11,27,0.00033,0.02,256,0.1,11,20,0.9562,65.9,66.67
[38042],1,baseline,27,20,11,27,0.00033,0.02,256,0.1,12,20,0.917,67.36,69.19
[38042],1,baseline,27,20,11,27,0.00033,0.02,256,0.1,13,20,0.8697,69.06,69.35
[38042],1,baseline,27,20,11,27,0.00033,0.02,256,0.1,14,20,0.831,70.69,71.04
[38042],1,baseline,27,20,11,27,0.00033,0.02,256,0.1,15,20,0.7868,72.22,71.92
[38042],1,baseline,27,20,11,27,0.00033,0.02,256,0.1,16,20,0.7521,73.49,73.08
[38042],1,baseline,27,20,11,27,0.00033,0.02,256,0.1,17,20,0.7184,74.82,74.02
[38042],1,baseline,27,20,11,27,0.00033,0.02,256,0.1,18,20,0.6968,75.31,74.82
[38042],1,baseline,27,20,11,27,0.00033,0.02,256,0.1,19,20,0.6721,76.33,75.04
[38042],1,baseline,27,20,11,27,0.00033,0.02,256,0.1,20,20,0.6673,76.36,75.4
[38042],1,baseline,27,20,12,27,0.00033,0.02,256,0.2,1,20,1.9947,25.66,31.3
[38042],1,baseline,27,20,12,27,0.00033,0.02,256,0.2,2,20,1.784,33.57,35.26
[38042],1,baseline,27,20,12,27,0.00033,0.02,256,0.2,3,20,1.6417,39.55,44.08
[38042],1,baseline,27,20,12,27,0.00033,0.02,256,0.2,4,20,1.4533,47.02,50.15
[38042],1,baseline,27,20,12,27,0.00033,0.02,256,0.2,5,20,1.3322,51.65,53.73
[38042],1,baseline,27,20,12,27,0.00033,0.02,256,0.2,6,20,1.2541,54.56,57.0
[38042],1,baseline,27,20,12,27,0.00033,0.02,256,0.2,7,20,1.174,57.64,60.31
[38042],1,baseline,27,20,12,27,0.00033,0.02,256,0.2,8,20,1.1126,60.05,61.79
[38042],1,baseline,27,20,12,27,0.00033,0.02,256,0.2,9,20,1.0615,61.91,64.53
[38042],1,baseline,27,20,12,27,0.00033,0.02,256,0.2,10,20,1.0154,63.58,65.4
[38042],1,baseline,27,20,12,27,0.00033,0.02,256,0.2,11,20,0.9665,65.53,67.35
[38042],1,baseline,27,20,12,27,0.00033,0.02,256,0.2,12,20,0.9285,66.84,67.76
[38042],1,baseline,27,20,12,27,0.00033,0.02,256,0.2,13,20,0.8846,68.53,70.64
[38042],1,baseline,27,20,12,27,0.00033,0.02,256,0.2,14,20,0.8413,70.12,71.05
[38042],1,baseline,27,20,12,27,0.00033,0.02,256,0.2,15,20,0.803,71.44,72.93
[38042],1,baseline,27,20,12,27,0.00033,0.02,256,0.2,16,20,0.7727,72.6,73.53
[38042],1,baseline,27,20,12,27,0.00033,0.02,256,0.2,17,20,0.7426,73.59,74.28
[38042],1,baseline,27,20,12,27,0.00033,0.02,256,0.2,18,20,0.7204,74.51,74.68
[38042],1,baseline,27,20,12,27,0.00033,0.02,256,0.2,19,20,0.7004,75.23,75.04
[38042],1,baseline,27,20,12,27,0.00033,0.02,256,0.2,20,20,0.6885,75.49,75.28
[38042],1,baseline,27,20,13,27,0.00033,0.07,256,0.0,1,20,1.9705,26.87,33.54
[38042],1,baseline,27,20,13,27,0.00033,0.07,256,0.0,2,20,1.7469,35.14,37.26
[38042],1,baseline,27,20,13,27,0.00033,0.07,256,0.0,3,20,1.5433,43.52,45.84
[38042],1,baseline,27,20,13,27,0.00033,0.07,256,0.0,4,20,1.3778,49.94,50.05
[38042],1,baseline,27,20,13,27,0.00033,0.07,256,0.0,5,20,1.2721,54.18,55.28
[38042],1,baseline,27,20,13,27,0.00033,0.07,256,0.0,6,20,1.1987,56.95,57.65
[38042],1,baseline,27,20,13,27,0.00033,0.07,256,0.0,7,20,1.1228,59.84,61.01
[38042],1,baseline,27,20,13,27,0.00033,0.07,256,0.0,8,20,1.072,61.47,61.23
[38042],1,baseline,27,20,13,27,0.00033,0.07,256,0.0,9,20,1.0209,63.38,64.73
[38042],1,baseline,27,20,13,27,0.00033,0.07,256,0.0,10,20,0.9734,65.12,65.23
[38042],1,baseline,27,20,13,27,0.00033,0.07,256,0.0,11,20,0.9262,66.82,67.97
[38042],1,baseline,27,20,13,27,0.00033,0.07,256,0.0,12,20,0.8796,68.76,68.17
[38042],1,baseline,27,20,13,27,0.00033,0.07,256,0.0,13,20,0.8375,70.28,70.18
[38042],1,baseline,27,20,13,27,0.00033,0.07,256,0.0,14,20,0.7976,71.81,71.07
[38042],1,baseline,27,20,13,27,0.00033,0.07,256,0.0,15,20,0.7527,73.42,72.45
[38042],1,baseline,27,20,13,27,0.00033,0.07,256,0.0,16,20,0.7198,74.45,73.7
[38042],1,baseline,27,20,13,27,0.00033,0.07,256,0.0,17,20,0.6866,75.76,74.43
[38042],1,baseline,27,20,13,27,0.00033,0.07,256,0.0,18,20,0.6573,76.64,74.24
[38042],1,baseline,27,20,13,27,0.00033,0.07,256,0.0,19,20,0.641,77.22,75.08
[38042],1,baseline,27,20,13,27,0.00033,0.07,256,0.0,20,20,0.6295,77.83,75.28
[38042],1,baseline,27,20,14,27,0.00033,0.07,256,0.1,1,20,1.9836,26.3,31.38
[38042],1,baseline,27,20,14,27,0.00033,0.07,256,0.1,2,20,1.7824,34.0,36.23
[38042],1,baseline,27,20,14,27,0.00033,0.07,256,0.1,3,20,1.5901,42.03,46.49
[38042],1,baseline,27,20,14,27,0.00033,0.07,256,0.1,4,20,1.4065,48.85,52.75
[38042],1,baseline,27,20,14,27,0.00033,0.07,256,0.1,5,20,1.2909,53.21,53.93
[38042],1,baseline,27,20,14,27,0.00033,0.07,256,0.1,6,20,1.2049,56.42,55.64
[38042],1,baseline,27,20,14,27,0.00033,0.07,256,0.1,7,20,1.1544,58.47,60.01
[38042],1,baseline,27,20,14,27,0.00033,0.07,256,0.1,8,20,1.0892,60.98,60.17
[38042],1,baseline,27,20,14,27,0.00033,0.07,256,0.1,9,20,1.0346,62.97,64.04
[38042],1,baseline,27,20,14,27,0.00033,0.07,256,0.1,10,20,0.9899,64.49,66.01
